"PersonName","Country","Discipline","Event","Gold","Silver","Bronze","Total"
"ABDUL HADI Farah Ann","Malaysia","Artistic Gymnastics","Mixed Team",\N,\N,\N,\N
"ADAM Amal","Egypt","Archery","Mixed Team",\N,\N,\N,\N
"ABDALLAH Shahd","Egypt","Artistic Swimming","Mixed Team",\N,\N,\N,\N
"ABDELMAWGOUD Mohamed","Egypt","Judo","Mixed Team",\N,\N,\N,\N
"ACHOURI Haikel","Tunisia","Wrestling","Mixed Team",\N,\N,\N,\N
"ACHONWA Natalie","Canada","Basketball","Mixed Team",7,6,11,24
"ABALO Luc","France","Handball","Mixed Team",10,12,11,33
"ABDELMOTTALEB Diaaeldin Kamal Gouda","Egypt","Wrestling","Mixed Team",\N,\N,\N,\N
"ACHOURI Haikel","Tunisia","Wrestling","Mixed Team",\N,\N,\N,\N
"ABALO Luc","France","Handball","Mixed Team",10,12,11,33
"ABRINES REDONDO Alejandro","Spain","Basketball","Mixed Team",3,8,6,17
"ABROSIMOV Kirill","ROC","Marathon Swimming","Women's Team",20,28,23,71
"ADAMEK Klaudia","Poland","Athletics","Men",4,5,5,14
"ADAMEK Klaudia","Poland","Athletics","Men",4,5,5,14
